task_id,family,p_i,p_j,action_sim,seq_sim,step_diff,exact_match
T24,debugging,0,2,1.0,1.0,0,1
T24,debugging,0,3,0.5714285714285714,0.6666666666666667,1,0
T24,debugging,1,2,0.5714285714285714,0.6666666666666667,1,0
T24,debugging,1,3,1.0,1.0,0,1
T24,debugging,2,3,0.5714285714285714,0.6666666666666667,1,0
T25,debugging,0,1,1.0,1.0,0,1
T25,debugging,0,2,1.0,1.0,0,1
T25,debugging,0,3,1.0,1.0,0,1
T25,debugging,1,2,1.0,1.0,0,1
T25,debugging,1,3,1.0,1.0,0,1
T25,debugging,2,3,1.0,1.0,0,1
T26,study,0,1,0.8333333333333334,0.8333333333333334,1,0
T26,study,0,2,0.8333333333333334,0.8333333333333334,1,0
T26,study,0,3,0.8333333333333334,0.8333333333333334,1,0
T26,study,1,2,1.0,1.0,0,1
T26,study,1,3,1.0,1.0,0,1
T26,study,2,3,1.0,1.0,0,1
T27,study,0,1,1.0,1.0,0,1
T27,study,0,2,1.0,1.0,0,1
T27,study,0,3,1.0,1.0,0,1
T27,study,1,2,1.0,1.0,0,1
T27,study,1,3,1.0,1.0,0,1
T27,study,2,3,1.0,1.0,0,1
T28,study,0,1,0.8,0.8,1,0
T28,study,0,2,0.8,0.8,1,0
T28,study,0,3,0.8,0.8,1,0
T28,study,1,2,1.0,1.0,0,1
T28,study,1,3,1.0,1.0,0,1
T28,study,2,3,1.0,1.0,0,1
T29,study,0,1,1.0,1.0,0,1
T29,study,0,2,1.0,1.0,0,1
T29,study,0,3,0.8333333333333334,0.8333333333333334,1,0
T29,study,1,2,1.0,1.0,0,1
T29,study,1,3,0.8333333333333334,0.8333333333333334,1,0
T29,study,2,3,0.8333333333333334,0.8333333333333334,1,0
T30,study,0,1,1.0,1.0,0,1
T30,study,0,2,1.0,1.0,0,1
T30,study,0,3,1.0,1.0,0,1
T30,study,1,2,1.0,1.0,0,1
T30,study,1,3,1.0,1.0,0,1
T30,study,2,3,1.0,1.0,0,1
T31,research,0,1,1.0,1.0,0,1
T31,research,0,2,0.6666666666666666,0.8,0,0
T31,research,0,3,0.5714285714285714,0.5,1,0
T31,research,1,2,0.6666666666666666,0.8,0,0
T31,research,1,3,0.5714285714285714,0.5,1,0
T31,research,2,3,0.5714285714285714,0.5,1,0
T32,debugging,0,1,0.5714285714285714,0.6666666666666667,1,0
T32,debugging,0,2,0.8333333333333334,0.8333333333333334,1,0
T32,debugging,0,3,0.5714285714285714,0.6666666666666667,1,0
T32,debugging,1,2,0.5,0.6666666666666667,0,0
T32,debugging,1,3,1.0,1.0,0,1
T32,debugging,2,3,0.5,0.6666666666666667,0,0
