task_id,family,p_i,p_j,action_sim,seq_sim,semantic_sim,step_diff,exact_match,tool_agree
T12,study,0,1,1.0,1.0,1.0,0,0,0.8
T12,study,0,2,1.0,1.0,1.0,0,0,0.8
T12,study,0,3,1.0,1.0,1.0,0,0,0.8
T12,study,1,2,1.0,1.0,1.0,0,1,1.0
T12,study,1,3,1.0,1.0,1.0,0,1,1.0
T12,study,2,3,1.0,1.0,1.0,0,1,1.0
T13,travel,0,1,1.0,1.0,1.0,0,0,0.6
T13,travel,0,2,1.0,1.0,1.0,0,1,1.0
T13,travel,0,3,1.0,1.0,1.0,0,1,1.0
T13,travel,1,2,1.0,1.0,1.0,0,0,0.6
T13,travel,1,3,1.0,1.0,1.0,0,0,0.6
T13,travel,2,3,1.0,1.0,1.0,0,1,1.0
T14,travel,0,1,1.0,1.0,1.0,0,1,1.0
T14,travel,0,2,1.0,1.0,1.0,0,1,1.0
T14,travel,0,3,1.0,1.0,1.0,0,1,1.0
T14,travel,1,2,1.0,1.0,1.0,0,1,1.0
T14,travel,1,3,1.0,1.0,1.0,0,1,1.0
T14,travel,2,3,1.0,1.0,1.0,0,1,1.0
T15,travel,0,1,1.0,1.0,1.0,0,0,0.4
T15,travel,0,2,1.0,1.0,1.0,0,0,0.4
T15,travel,0,3,1.0,1.0,1.0,0,0,0.4
T15,travel,1,2,1.0,1.0,1.0,0,1,1.0
T15,travel,1,3,1.0,1.0,1.0,0,1,1.0
T15,travel,2,3,1.0,1.0,1.0,0,1,1.0
T16,travel,0,1,1.0,1.0,1.0,0,1,1.0
T16,travel,0,2,1.0,1.0,1.0,0,1,1.0
T16,travel,0,3,1.0,1.0,1.0,0,1,1.0
T16,travel,1,2,1.0,1.0,1.0,0,1,1.0
T16,travel,1,3,1.0,1.0,1.0,0,1,1.0
T16,travel,2,3,1.0,1.0,1.0,0,1,1.0
T17,travel,0,1,1.0,1.0,1.0,0,0,0.8
T17,travel,0,2,1.0,1.0,1.0,0,1,1.0
T17,travel,0,3,1.0,1.0,1.0,0,0,0.8
T17,travel,1,2,1.0,1.0,1.0,0,0,0.8
T17,travel,1,3,1.0,1.0,1.0,0,0,0.6
T17,travel,2,3,1.0,1.0,1.0,0,0,0.8
T18,research,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T18,research,0,2,1.0,1.0,1.0,0,1,1.0
T18,research,0,3,1.0,1.0,1.0,0,0,0.6
T18,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T18,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T18,research,2,3,1.0,1.0,1.0,0,0,0.6
T19,research,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T19,research,0,2,1.0,1.0,1.0,0,0,0.8
T19,research,0,3,1.0,1.0,1.0,0,0,0.8
T19,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T19,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T19,research,2,3,1.0,1.0,1.0,0,0,0.6
T20,research,0,1,1.0,1.0,1.0,0,1,1.0
T20,research,0,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,1.0
T20,research,0,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T20,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,1.0
T20,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T20,research,2,3,1.0,1.0,1.0,0,0,0.8
T21,research,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T21,research,0,2,1.0,1.0,1.0,0,1,1.0
T21,research,0,3,1.0,1.0,1.0,0,0,0.8
T21,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,1.0
T21,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T21,research,2,3,1.0,1.0,1.0,0,0,0.8
T22,debugging,0,1,0.6666666666666666,0.8,0.8830559849739075,0,0,0.8
T22,debugging,0,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.4
T22,debugging,0,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T22,debugging,1,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T22,debugging,1,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T22,debugging,2,3,1.0,1.0,1.0,0,0,0.5
T23,debugging,0,1,1.0,1.0,1.0,0,1,1.0
T23,debugging,0,2,0.6666666666666666,0.8,0.8830559849739075,0,0,0.4
T23,debugging,0,3,1.0,1.0,1.0,0,1,1.0
T23,debugging,1,2,0.6666666666666666,0.8,0.8830559849739075,0,0,0.4
T23,debugging,1,3,1.0,1.0,1.0,0,1,1.0
T23,debugging,2,3,0.6666666666666666,0.8,0.8830559849739075,0,0,0.4
T24,debugging,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T24,debugging,0,2,0.6666666666666666,0.8,0.8830559849739075,0,0,0.8
T24,debugging,0,3,0.6666666666666666,0.8,0.8830559849739075,0,0,0.8
T24,debugging,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.4
T24,debugging,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.4
T24,debugging,2,3,1.0,1.0,1.0,0,1,1.0
T25,debugging,0,1,1.0,1.0,1.0,0,1,1.0
T25,debugging,0,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T25,debugging,0,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.4
T25,debugging,1,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T25,debugging,1,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.4
T25,debugging,2,3,1.0,1.0,1.0,0,0,0.8333333333333334
T26,study,0,1,0.6666666666666666,0.8,0.8377312421798706,0,0,0.8
T26,study,0,2,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T26,study,0,3,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T26,study,1,2,0.6666666666666666,0.6,0.8553974032402039,0,0,0.6
T26,study,1,3,0.6666666666666666,0.6,0.8553974032402039,0,0,0.6
T26,study,2,3,1.0,1.0,1.0,0,0,0.8
T27,study,0,1,1.0,1.0,1.0,0,1,1.0
T27,study,0,2,1.0,1.0,1.0,0,1,1.0
T27,study,0,3,1.0,1.0,1.0,0,1,1.0
T27,study,1,2,1.0,1.0,1.0,0,1,1.0
T27,study,1,3,1.0,1.0,1.0,0,1,1.0
T27,study,2,3,1.0,1.0,1.0,0,1,1.0
T28,study,0,1,0.8,0.8,0.800000011920929,1,0,0.5
T28,study,0,2,0.8,0.8,0.800000011920929,1,0,1.0
T28,study,0,3,0.8,0.8,0.800000011920929,1,0,0.5
T28,study,1,2,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T28,study,1,3,1.0,1.0,1.0,0,1,1.0
T28,study,2,3,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T29,study,0,1,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T29,study,0,2,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T29,study,0,3,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T29,study,1,2,1.0,1.0,1.0,0,1,1.0
T29,study,1,3,1.0,1.0,1.0,0,1,1.0
T29,study,2,3,1.0,1.0,1.0,0,1,1.0
T30,study,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T30,study,0,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T30,study,0,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T30,study,1,2,1.0,1.0,1.0,0,0,0.8
T30,study,1,3,1.0,1.0,1.0,0,0,0.8
T30,study,2,3,1.0,1.0,1.0,0,1,1.0
T31,research,0,1,1.0,1.0,1.0,0,1,1.0
T31,research,0,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T31,research,0,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T31,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T31,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T31,research,2,3,1.0,1.0,1.0,0,0,0.6
T32,debugging,0,1,1.0,1.0,1.0,0,0,0.6
T32,debugging,0,2,0.6666666666666666,0.8,0.8830559849739075,0,0,0.4
T32,debugging,0,3,1.0,1.0,1.0,0,0,0.8
T32,debugging,1,2,0.6666666666666666,0.8,0.8830559849739075,0,0,0.8
T32,debugging,1,3,1.0,1.0,1.0,0,0,0.6
T32,debugging,2,3,0.6666666666666666,0.8,0.8830559849739075,0,0,0.4
